"","Name","m_h_ratio","pvalue","p_adj_BH"
"82","C18:3",1.16952463991632,0.0549720628386216,0.304378906232947
"83","C16:1",1.0718908017939,0.387787767408024,0.617587925872038
"84","C17:2",1.03512505456529,0.676848523880728,0.839388454689455
"85","C18:4",0.900257921376857,0.216978247967722,0.504089695268756
"86","DAG(39:5)",0.97272800072779,0.804749070915316,0.894936466793757
"87","C15:1",0.891848680432453,0.337850946016656,0.573457526791429
"88","C16:2",1.08726665126952,0.290508478242978,0.529735497467674
"89","6-Deoxohomodolichosterone",0.903414407912939,0.220536386991735,0.504089695268756
"90","Pentadecanoic acid",0.844928458722796,0.198601373477083,0.501618601644208
"91","DAG(15:1/22:4)",1.0949086053468,0.330235366355647,0.568004830131713
"92","Dodecanoic acid",0.845822551791046,0.192210407783575,0.500911971799619
"93","Myristoleic acid C14:1",0.964042664098318,0.62832830992456,0.805437655338115
"94","C14:2",1.03799239389811,0.618413413610743,0.797753303557859
"95","C14:0(Myristic acid)",0.9145535134555,0.261053749425289,0.529735497467674
"96","Alpha-ketoisovaleric acid",1.14526550143519,0.206876977520539,0.501618601644208
"97","C15:2",0.973378815414005,0.718124905376385,0.861749886451663
"98","13-epi-12-oxo Phytodienoic Acid",1.05035435266645,0.656795518967436,0.822588562590285
"99","Indolepyruvate",0.952578928054886,0.728237955291358,0.865831301682813
"100","2-keto-isocaproate",1.08379223036009,0.403739569900419,0.627498849604266
"101","2-Methyl-3-ketovaleric acid",1.08379223036009,0.403739569900419,0.627498849604266
"102","10-hydroxy-2E-decenoic acid",0.79062635646543,0.211394301307881,0.502638588263124
"103","Neoabietic acid",0.768201696096213,0.00510146380291018,0.0864149178067827
"104","DAG(34:1)",0.639000377169233,0.0293969257977436,0.198110704665226
"105","Ceramide (d18:1/16:0)",1.01430112112846,0.876879987476467,0.941372942542367
"106","3,4-Dihydroxyphenylglycol O-sulfate",1.06025016625473,0.428897614314911,0.643346421472367
"107","15-deoxy-delta-12-14-PGJ2",0.986575528174629,0.853958387752884,0.925719596807748
"108","Oleamide",0.780430807287978,0.02865024902533,0.198110704665226
"109","Octadecanamide",1.19550534275265,0.0608875562027002,0.316043925121878
